,Make,Seller,YearOfProd,Mileage (km),Color,Fuel,FuelCinCity,Gearbox,EngineVol (cm3),Horsepower,Post-accident,Seats,Doors,Price
0,BMW,Private person,2005,284000,Gray,Petrol,12,Manual,2497,177,,5,5,4853.27
1,Peugeot,Private person,2011,216800,Gray,Diesel,6,Manual,1997,140,0.0,5,5,7629.8
2,MINI,Private person,2014,99500,Brown,Diesel,6,Automatic,1995,143,0.0,5,5,14853.27
3,Opel,Private person,2017,95000,Red,Petrol,"7,70",,1399,125,,5,5,9864.56
4,Audi,Company,2019,98000,Black,Diesel,,Automatic,1968,190,0.0,5,5,39480.81
5,Volkswagen,Private person,2019,75000,Silver,Diesel,,Manual,1968,149,0.0,9,4,56432.73
6,Ford,Private person,2018,140000,White,Diesel,5,Automatic,1997,150,,5,5,16936.79
7,Peugeot,Private person,2009,263670,Silver,Diesel,"9,20",Manual,1997,136,0.0,8,5,5191.87
8,Mazda,Company,2013,140093,Else,Diesel,,Automatic,2191,175,,5,5,14650.11
9,Citroën,Company,2019,101341,Gray,Petrol,,Manual,1199,118,,5,5,21196.39
10,Ford,Company,2019,91500,Gray,Petrol,,Manual,1499,150,0.0,5,5,21670.43
11,Audi,Private person,2006,285000,Silver,Diesel,8,Manual,1968,140,0.0,5,5,5530.47
12,Ford,Company,2022,5,Black,Diesel,,Automatic,1995,213,0.0,4,4,49977.43
13,Opel,Company,2014,75228,Brown,Petrol,,Manual,1598,115,0.0,5,5,13521.44
14,Mitsubishi,Company,2013,168000,White,Petrol,,Manual,1590,117,,5,5,12392.78
15,Mercedes-Benz,Private person,2019,44000,White,Petrol,10,Automatic,1991,224,0.0,,5,38352.14
16,Mercedes-Benz,Private person,2006,257000,Black,Diesel,"6,70",,1991,,,5,5,4130.93
17,Nissan,Private person,2010,64000,Silver,Petrol,6,,1198,80,0.0,5,5,4943.57
18,Audi,Company,2018,129000,Black,Diesel,,,3956,435,0.0,5,5,67674.94
19,Toyota,Private person,2009,144000,Claret,Petrol,8,Manual,1798,147,0.0,5,5,8781.04
20,Audi,Company,2022,3000,Black,Hybrid,,Automatic,2995,462,0.0,5,5,137697.52
21,Mercedes-Benz,Company,2021,45100,White,Diesel,,,1950,245,,,5,75598.19
22,Peugeot,Private person,2012,183000,Black,Diesel,8,,1997,163,,5,5,7878.1
23,Mercedes-Benz,Company,2015,134900,Black,Diesel,5,,2143,170,,,4,22550.79
24,Mercedes-Benz,Company,2021,50200,Black,Diesel,,,1950,194,,,5,49638.83
25,Skoda,Private person,2014,174000,Black,Petrol,9,Automatic,1798,160,,5,5,9006.77
26,Nissan,Private person,2010,75000,Black,Petrol,"8,30",Manual,1598,114,,5,5,9029.35
27,Audi,Company,2023,,Gray,Diesel,,Automatic,1968,163,0.0,5,4,49889.84
28,Audi,Company,2023,,Gray,Diesel,,Automatic,1968,204,0.0,5,4,73117.38
29,Opel,Private person,2011,218000,Silver,Petrol,"8,10",,1362,140,,5,5,6749.44
30,Volkswagen,Private person,2010,260000,Silver,Diesel,5,Manual,1598,105,0.0,5,5,4966.14
31,Mercedes-Benz,Private person,2019,99850,White,Petrol,,Automatic,1991,190,0.0,5,4,36900.0
32,BMW,Private person,2005,284000,Gray,Petrol,12,Manual,2497,177,,5,5,4853.27
33,Peugeot,Private person,2011,216800,Gray,Diesel,6,Manual,1997,140,0.0,5,5,7629.8
34,MINI,Private person,2014,99500,Brown,Diesel,6,Automatic,1995,143,0.0,5,5,14853.27
35,Opel,Private person,2017,95000,Red,Petrol,"7,70",,1399,125,,5,5,9864.56
36,Audi,Company,2019,98000,Black,Diesel,,Automatic,1968,190,0.0,5,5,39480.81
37,Volkswagen,Private person,2019,75000,Silver,Diesel,,Manual,1968,149,0.0,9,4,56432.73
38,Ford,Private person,2018,140000,White,Diesel,5,Automatic,1997,150,,5,5,16936.79
39,Peugeot,Private person,2009,263670,Silver,Diesel,"9,20",Manual,1997,136,0.0,8,5,5191.87
40,Mazda,Company,2013,140093,Else,Diesel,,Automatic,2191,175,,5,5,14650.11
41,Citroën,Company,2019,101341,Gray,Petrol,,Manual,1199,118,,5,5,21196.39
42,Ford,Company,2019,91500,Gray,Petrol,,Manual,1499,150,0.0,5,5,21670.43
43,Audi,Private person,2006,285000,Silver,Diesel,8,Manual,1968,140,0.0,5,5,5530.47
44,Ford,Company,2022,5,Black,Diesel,,Automatic,1995,213,0.0,4,4,49977.43
45,Opel,Company,2014,75228,Brown,Petrol,,Manual,1598,115,0.0,5,5,13521.44
46,Mitsubishi,Company,2013,168000,White,Petrol,,Manual,1590,117,,5,5,12392.78
47,Mercedes-Benz,Private person,2019,44000,White,Petrol,10,Automatic,1991,224,0.0,,5,38352.14
48,Mercedes-Benz,Private person,2006,257000,Black,Diesel,"6,70",,1991,,,5,5,4130.93
49,Nissan,Private person,2010,64000,Silver,Petrol,6,,1198,80,0.0,5,5,4943.57
50,Audi,Company,2018,129000,Black,Diesel,,,3956,435,0.0,5,5,67674.94
51,Toyota,Private person,2009,144000,Claret,Petrol,8,Manual,1798,147,0.0,5,5,8781.04
